team,season,stadium_type,division
ARI,2020,retractable,nfc_west
ATL,2020,retractable,nfc_south
BAL,2020,outdoor,afc_north
BUF,2020,outdoor,afc_east
CAR,2020,outdoor,nfc_south
CHI,2020,outdoor,nfc_north
CIN,2020,outdoor,afc_north
CLE,2020,outdoor,afc_north
DAL,2020,retractable,nfc_east
DEN,2020,outdoor,afc_west
DET,2020,indoor,nfc_north
GB,2020,outdoor,nfc_north
HOU,2020,retractable,afc_south
IND,2020,retractable,afc_south
JAX,2020,outdoor,afc_south
KC,2020,outdoor,afc_west
LA,2020,indoor,nfc_west
LAC,2020,indoor,afc_west
LV,2020,indoor,afc_west
MIA,2020,outdoor,afc_east
MIN,2020,indoor,nfc_north
NE,2020,outdoor,afc_east
NO,2020,indoor,nfc_south
NYG,2020,outdoor,nfc_east
NYJ,2020,outdoor,afc_east
PHI,2020,outdoor,nfc_east
PIT,2020,outdoor,afc_north
SEA,2020,outdoor,nfc_west
SF,2020,outdoor,nfc_west
TB,2020,outdoor,nfc_south
TEN,2020,outdoor,afc_south
WAS,2020,outdoor,nfc_east
ARI,2019,retractable,nfc_west
ATL,2019,retractable,nfc_south
BAL,2019,outdoor,afc_north
BUF,2019,outdoor,afc_east
CAR,2019,outdoor,nfc_south
CHI,2019,outdoor,nfc_north
CIN,2019,outdoor,afc_north
CLE,2019,outdoor,afc_north
DAL,2019,retractable,nfc_east
DEN,2019,outdoor,afc_west
DET,2019,indoor,nfc_north
GB,2019,outdoor,nfc_north
HOU,2019,retractable,afc_south
IND,2019,retractable,afc_south
JAX,2019,outdoor,afc_south
KC,2019,outdoor,afc_west
LA,2019,outdoor,nfc_west
LAC,2019,outdoor,afc_west
MIA,2019,outdoor,afc_east
MIN,2019,indoor,nfc_north
NE,2019,outdoor,afc_east
NO,2019,indoor,nfc_south
NYG,2019,outdoor,nfc_east
NYJ,2019,outdoor,afc_east
OAK,2019,outdoor,afc_west
PHI,2019,outdoor,nfc_east
PIT,2019,outdoor,afc_north
SEA,2019,outdoor,nfc_west
SF,2019,outdoor,nfc_west
TB,2019,outdoor,nfc_south
TEN,2019,outdoor,afc_south
WAS,2019,outdoor,nfc_east
ARI,2018,retractable,nfc_west
ATL,2018,retractable,nfc_south
BAL,2018,outdoor,afc_north
BUF,2018,outdoor,afc_east
CAR,2018,outdoor,nfc_south
CHI,2018,outdoor,nfc_north
CIN,2018,outdoor,afc_north
CLE,2018,outdoor,afc_north
DAL,2018,retractable,nfc_east
DEN,2018,outdoor,afc_west
DET,2018,indoor,nfc_north
GB,2018,outdoor,nfc_north
HOU,2018,retractable,afc_south
IND,2018,retractable,afc_south
JAX,2018,outdoor,afc_south
KC,2018,outdoor,afc_west
LA,2018,outdoor,nfc_west
LAC,2018,outdoor,afc_west
MIA,2018,outdoor,afc_east
MIN,2018,indoor,nfc_north
NE,2018,outdoor,afc_east
NO,2018,indoor,nfc_south
NYG,2018,outdoor,nfc_east
NYJ,2018,outdoor,afc_east
OAK,2018,outdoor,afc_west
PHI,2018,outdoor,nfc_east
PIT,2018,outdoor,afc_north
SEA,2018,outdoor,nfc_west
SF,2018,outdoor,nfc_west
TB,2018,outdoor,nfc_south
TEN,2018,outdoor,afc_south
WAS,2018,outdoor,nfc_east
ARI,2017,retractable,nfc_west
ATL,2017,retractable,nfc_south
